member_casual;end_station_name;num_end_Station
casual;Streeter Dr & Grand Ave;60092
casual;DuSable Lake Shore Dr & Monroe St;29672
casual;Millennium Park;26857
casual;Michigan Ave & Oak St;26524
casual;DuSable Lake Shore Dr & North Blvd;26193
member;Kingsbury St & Kinzie St;25094
member;Clark St & Elm St;22836
member;Wells St & Concord Ln;22233
member;University Ave & 57th St;21650
member;Clinton St & Washington Blvd;21407
member;Ellis Ave & 60th St;20388
member;Clinton St & Madison St;20089
casual;Theater on the Lake;19447
member;Loomis St & Lexington St;19382
member;Wells St & Elm St;19119
casual;Shedd Aquarium;18784
member;Broadway & Barry Ave;18371
member;Dearborn St & Erie St;17016
member;St. Clair St & Erie St;16790
member;Wilton Ave & Belmont Ave;16478
member;Ellis Ave & 55th St;16346
member;Canal St & Adams St;16301
member;Wells St & Huron St;16101
member;Wells St & Hubbard St;16097
member;Sheffield Ave & Fullerton Ave;16083
member;DuSable Lake Shore Dr & North Blvd;16066
member;Clark St & Wrightwood Ave;15765
casual;Wells St & Concord Ln;15647
member;Green St & Madison St;15579
member;Streeter Dr & Grand Ave;15564
member;Wabash Ave & Grand Ave;15510
member;Clark St & Armitage Ave;15387
member;Ashland Ave & Division St;15017
member;Larrabee St & Kingsbury St;14896
member;Clark St & Drummond Pl;14702
member;Broadway & Waveland Ave;14483
member;State St & Chicago Ave;14294
member;Halsted St & Clybourn Ave;14199
member;Dearborn Pkwy & Delaware Pl;13972
casual;Clark St & Armitage Ave;13898
member;Clinton St & Jackson Blvd;13866
member;Michigan Ave & Oak St;13812
member;Desplaines St & Kinzie St;13798
member;Halsted St & Polk St;13778
member;Clinton St & Lake St;13703
member;Wabash Ave & Roosevelt Rd;13699
member;Clark St & Lincoln Ave;13652
member;Theater on the Lake;13651
casual;Clark St & Lincoln Ave;13636
member;Morgan St & Polk St;13556
member;Indiana Ave & Roosevelt Rd;13529
casual;Dusable Harbor;13442
member;LaSalle St & Illinois St;13355
member;State St & 33rd St;13263
member;Broadway & Cornelia Ave;13239
member;Michigan Ave & Washington St;12979
member;Lincoln Ave & Fullerton Ave;12910
member;Dearborn St & Monroe St;12860
member;Larrabee St & Webster Ave;12810
casual;Indiana Ave & Roosevelt Rd;12739
member;Damen Ave & Pierce Ave;12712
member;Halsted St & Wrightwood Ave;12708
member;Southport Ave & Roscoe St;12702
member;Lakeview Ave & Fullerton Pkwy;12560
member;Halsted St & Roscoe St;12519
casual;Montrose Harbor;12291
member;Michigan Ave & Lake St;12287
member;Peoria St & Jackson Blvd;12286
casual;Clark St & Elm St;12228
casual;Clark St & Newport St;12158
member;Kingsbury St & Erie St;12128
casual;Broadway & Barry Ave;12112
casual;Wabash Ave & Grand Ave;12071
member;Sheridan Rd & Irving Park Rd;12067
member;DuSable Lake Shore Dr & Diversey Pkwy;12063
member;Clark St & Schiller St;12048
member;Pine Grove Ave & Waveland Ave;11995
member;New St & Illinois St;11911
member;Orleans St & Merchandise Mart Plaza;11878
member;Southport Ave & Waveland Ave;11795
member;Federal St & Polk St;11780
casual;Sheffield Ave & Waveland Ave;11768
casual;Wells St & Elm St;11715
member;Sheffield Ave & Waveland Ave;11712
member;Clark St & Newport St;11696
member;Franklin St & Jackson Blvd;11647
member;Kimbark Ave & 53rd St;11626
member;Wells St & Evergreen Ave;11357
casual;Michigan Ave & Washington St;11356
member;Ravenswood Ave & Lawrence Ave;11314
member;Sheffield Ave & Webster Ave;11241
member;McClurg Ct & Ohio St;11214
member;Sheffield Ave & Wellington Ave;11153
member;Franklin St & Monroe St;11143
casual;LaSalle St & Illinois St;11105
member;Canal St & Madison St;11083
member;Clark St & Randolph St;11079
member;State St & Randolph St;11012
member;LaSalle St & Jackson Blvd;10987
member;Franklin St & Chicago Ave;10985
